Match_ID,Season,Team1,Team2,Stadium,City,Stadium_Capacity,Team_Popularity_Index,Match_Stage,Rivalry_Match,Day_of_Week,City_Income_Index,Avg_Ticket_Price,Tickets_Sold
36,2020,PBKS,KKR,Eden Gardens,Kolkata,65000,8.15,Final,0,Friday,7.5,3136,65000
37,2020,KKR,PBKS,Sawai Mansingh Stadium,Jaipur,30000,8.15,League,0,Monday,7.1,1597,30000
38,2020,DC,SRH,Sawai Mansingh Stadium,Jaipur,30000,7.85,League,0,Thursday,7.1,4186,30000
39,2020,MI,CSK,Wankhede Stadium,Mumbai,33000,9.65,League,1,Saturday,9,2589,33000
40,2020,CSK,KKR,MA Chidambaram Stadium,Chennai,50000,9.25,League,1,Friday,7.8,3037,50000
41,2020,RCB,DC,Eden Gardens,Kolkata,65000,8.65,League,0,Thursday,7.5,2223,65000
42,2020,CSK,PBKS,M. Chinnaswamy Stadium,Bangalore,40000,8.6,League,0,Saturday,8.8,3414,40000
43,2020,MI,CSK,MA Chidambaram Stadium,Chennai,50000,9.65,League,1,Thursday,7.8,3189,50000
44,2020,PBKS,KKR,Sawai Mansingh Stadium,Jaipur,30000,8.15,League,0,Tuesday,7.1,2752,30000
45,2020,MI,DC,Narendra Modi Stadium,Ahmedabad,132000,8.7,League,0,Wednesday,7.2,2932,88743
46,2020,GT,PBKS,Eden Gardens,Kolkata,65000,8,League,0,Wednesday,7.5,2091,62274
47,2020,MI,GT,Wankhede Stadium,Mumbai,33000,9.05,League,0,Monday,9,1405,33000
48,2020,LSG,PBKS,Eden Gardens,Kolkata,65000,7.85,League,0,Friday,7.5,1528,65000
49,2020,RCB,CSK,M. Chinnaswamy Stadium,Bangalore,40000,9.6,League,1,Thursday,8.8,1691,40000
50,2020,LSG,KKR,Wankhede Stadium,Mumbai,33000,8.5,League,0,Thursday,9,3892,33000
51,2020,LSG,GT,Arun Jaitley Stadium,Delhi,41000,8.35,League,0,Tuesday,7.9,3943,41000
52,2020,SRH,KKR,Narendra Modi Stadium,Ahmedabad,132000,8.35,League,0,Tuesday,7.2,3951,93381
53,2020,RR,PBKS,Arun Jaitley Stadium,Delhi,41000,7.75,League,0,Monday,7.9,3077,41000
54,2020,LSG,CSK,M. Chinnaswamy Stadium,Bangalore,40000,8.95,Playoffs,0,Tuesday,8.8,3272,40000
55,2020,RR,RCB,Arun Jaitley Stadium,Delhi,41000,8.75,League,0,Tuesday,7.9,2713,41000
56,2020,RR,RCB,Rajiv Gandhi Stadium,Hyderabad,39000,8.75,Playoffs,0,Saturday,7.4,2439,39000
57,2020,LSG,GT,Wankhede Stadium,Mumbai,33000,8.35,Playoffs,0,Wednesday,9,3917,33000
58,2020,CSK,RCB,Narendra Modi Stadium,Ahmedabad,132000,9.6,League,1,Monday,7.2,4240,102199
59,2020,GT,RCB,Narendra Modi Stadium,Ahmedabad,132000,9,League,0,Friday,7.2,2062,102893
60,2020,SRH,KKR,Narendra Modi Stadium,Ahmedabad,132000,8.35,Playoffs,0,Thursday,7.2,2228,114946
61,2020,MI,CSK,Sawai Mansingh Stadium,Jaipur,30000,9.65,League,1,Monday,7.1,1214,30000
62,2020,SRH,RCB,Narendra Modi Stadium,Ahmedabad,132000,8.7,League,0,Saturday,7.2,3009,101161
63,2020,GT,DC,Wankhede Stadium,Mumbai,33000,8.15,League,0,Monday,9,4030,33000
64,2020,RCB,GT,Wankhede Stadium,Mumbai,33000,9,League,0,Friday,9,3463,33000
65,2020,RCB,DC,Eden Gardens,Kolkata,65000,8.65,League,0,Wednesday,7.5,2693,65000
66,2020,MI,SRH,MA Chidambaram Stadium,Chennai,50000,8.75,League,0,Saturday,7.8,1621,50000
67,2020,SRH,GT,Sawai Mansingh Stadium,Jaipur,30000,8.2,League,0,Tuesday,7.1,1865,30000
68,2020,RCB,DC,Wankhede Stadium,Mumbai,33000,8.65,League,0,Saturday,9,2560,33000
69,2020,DC,KKR,Narendra Modi Stadium,Ahmedabad,132000,8.3,League,0,Sunday,7.2,4072,101978
70,2020,CSK,DC,Wankhede Stadium,Mumbai,33000,8.75,League,0,Tuesday,9,2017,33000
71,2020,PBKS,SRH,Narendra Modi Stadium,Ahmedabad,132000,7.7,League,0,Tuesday,7.2,1296,100341
72,2020,KKR,DC,Arun Jaitley Stadium,Delhi,41000,8.3,League,0,Sunday,7.9,1484,41000
73,2020,RR,SRH,Sawai Mansingh Stadium,Jaipur,30000,7.95,Playoffs,0,Wednesday,7.1,1313,30000
74,2020,CSK,RR,Eden Gardens,Kolkata,65000,8.85,League,0,Monday,7.5,1644,65000
75,2021,LSG,DC,Arun Jaitley Stadium,Delhi,41000,8,League,0,Thursday,7.9,3683,41000
76,2021,GT,CSK,Sawai Mansingh Stadium,Jaipur,30000,9.1,Final,0,Tuesday,7.1,2243,30000
77,2021,MI,DC,Wankhede Stadium,Mumbai,33000,8.7,Playoffs,0,Sunday,9,3405,33000
78,2021,KKR,SRH,Sawai Mansingh Stadium,Jaipur,30000,8.35,League,0,Saturday,7.1,2552,30000
79,2021,LSG,SRH,M. Chinnaswamy Stadium,Bangalore,40000,8.05,League,0,Friday,8.8,2466,40000
80,2021,DC,SRH,Sawai Mansingh Stadium,Jaipur,30000,7.85,League,0,Friday,7.1,1721,30000
81,2021,KKR,DC,Sawai Mansingh Stadium,Jaipur,30000,8.3,League,0,Friday,7.1,3531,30000
82,2021,RR,DC,Wankhede Stadium,Mumbai,33000,7.9,League,0,Wednesday,9,2060,33000
83,2021,DC,SRH,Rajiv Gandhi Stadium,Hyderabad,39000,7.85,League,0,Thursday,7.4,3967,39000
84,2021,KKR,GT,Rajiv Gandhi Stadium,Hyderabad,39000,8.65,League,0,Saturday,7.4,1547,39000
85,2021,RR,GT,Arun Jaitley Stadium,Delhi,41000,8.25,League,0,Sunday,7.9,4276,41000
86,2021,KKR,RR,MA Chidambaram Stadium,Chennai,50000,8.4,League,0,Tuesday,7.8,1300,50000
87,2021,MI,KKR,Rajiv Gandhi Stadium,Hyderabad,39000,9.2,League,0,Thursday,7.4,2897,39000
88,2021,LSG,KKR,Sawai Mansingh Stadium,Jaipur,30000,8.5,League,0,Thursday,7.1,2199,30000
89,2021,RCB,MI,M. Chinnaswamy Stadium,Bangalore,40000,9.55,League,1,Tuesday,8.8,1920,40000
90,2021,GT,PBKS,Wankhede Stadium,Mumbai,33000,8,Playoffs,0,Tuesday,9,1697,33000
91,2021,PBKS,RCB,Rajiv Gandhi Stadium,Hyderabad,39000,8.5,Playoffs,0,Friday,7.4,3638,39000
92,2021,SRH,PBKS,Sawai Mansingh Stadium,Jaipur,30000,7.7,Playoffs,0,Thursday,7.1,1851,30000
93,2021,PBKS,LSG,Narendra Modi Stadium,Ahmedabad,132000,7.85,League,0,Sunday,7.2,3811,93999
94,2021,RR,GT,Rajiv Gandhi Stadium,Hyderabad,39000,8.25,League,0,Wednesday,7.4,3001,39000
95,2021,CSK,RR,MA Chidambaram Stadium,Chennai,50000,8.85,League,0,Wednesday,7.8,2509,50000
96,2021,GT,CSK,Eden Gardens,Kolkata,65000,9.1,League,0,Tuesday,7.5,2768,62141
97,2021,RCB,KKR,M. Chinnaswamy Stadium,Bangalore,40000,9.15,League,1,Thursday,8.8,2555,40000
98,2021,GT,PBKS,Sawai Mansingh Stadium,Jaipur,30000,8,League,0,Tuesday,7.1,2920,30000
99,2021,DC,MI,Sawai Mansingh Stadium,Jaipur,30000,8.7,League,0,Monday,7.1,2640,30000
100,2021,RR,DC,Sawai Mansingh Stadium,Jaipur,30000,7.9,Playoffs,0,Saturday,7.1,4209,30000
101,2021,GT,KKR,Rajiv Gandhi Stadium,Hyderabad,39000,8.65,League,0,Wednesday,7.4,2985,39000
102,2021,PBKS,MI,Sawai Mansingh Stadium,Jaipur,30000,8.55,League,0,Saturday,7.1,3981,30000
103,2021,DC,RCB,Rajiv Gandhi Stadium,Hyderabad,39000,8.65,League,0,Friday,7.4,3387,39000
104,2021,MI,DC,Wankhede Stadium,Mumbai,33000,8.7,League,0,Saturday,9,2955,33000
105,2021,RCB,PBKS,Eden Gardens,Kolkata,65000,8.5,League,0,Wednesday,7.5,2752,64597
106,2021,SRH,KKR,Rajiv Gandhi Stadium,Hyderabad,39000,8.35,League,0,Wednesday,7.4,4317,39000
107,2021,DC,RR,Sawai Mansingh Stadium,Jaipur,30000,7.9,League,0,Sunday,7.1,1535,30000
108,2021,PBKS,MI,Wankhede Stadium,Mumbai,33000,8.55,League,0,Tuesday,9,3862,33000
109,2021,CSK,MI,Wankhede Stadium,Mumbai,33000,9.65,League,1,Tuesday,9,1283,33000
110,2021,LSG,RCB,MA Chidambaram Stadium,Chennai,50000,8.85,League,0,Thursday,7.8,3942,50000
111,2021,CSK,KKR,Rajiv Gandhi Stadium,Hyderabad,39000,9.25,League,1,Sunday,7.4,2710,39000
112,2021,RCB,CSK,Eden Gardens,Kolkata,65000,9.6,League,1,Monday,7.5,3570,65000
113,2021,MI,RR,Sawai Mansingh Stadium,Jaipur,30000,8.8,League,0,Saturday,7.1,2012,30000
114,2021,CSK,KKR,M. Chinnaswamy Stadium,Bangalore,40000,9.25,League,1,Sunday,8.8,4002,40000
115,2021,LSG,CSK,Wankhede Stadium,Mumbai,33000,8.95,League,0,Friday,9,2954,33000
116,2021,SRH,CSK,Arun Jaitley Stadium,Delhi,41000,8.8,League,0,Sunday,7.9,2920,41000
117,2021,PBKS,CSK,Sawai Mansingh Stadium,Jaipur,30000,8.6,League,0,Saturday,7.1,3083,30000
118,2021,RCB,DC,Eden Gardens,Kolkata,65000,8.65,Playoffs,0,Saturday,7.5,2306,65000
119,2021,LSG,GT,Rajiv Gandhi Stadium,Hyderabad,39000,8.35,League,0,Thursday,7.4,4194,39000
120,2021,LSG,RR,Arun Jaitley Stadium,Delhi,41000,8.1,League,0,Sunday,7.9,1554,41000
121,2021,RR,PBKS,MA Chidambaram Stadium,Chennai,50000,7.75,League,0,Friday,7.8,3699,50000
122,2021,DC,SRH,Wankhede Stadium,Mumbai,33000,7.85,League,0,Sunday,9,2531,33000
123,2021,RCB,PBKS,MA Chidambaram Stadium,Chennai,50000,8.5,League,0,Sunday,7.8,2258,50000
124,2021,SRH,RR,Narendra Modi Stadium,Ahmedabad,132000,7.95,Playoffs,0,Monday,7.2,3316,96423
125,2021,KKR,CSK,MA Chidambaram Stadium,Chennai,50000,9.25,League,1,Thursday,7.8,3474,50000
126,2021,KKR,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,8.15,League,0,Sunday,7.4,1270,39000
127,2021,CSK,RR,MA Chidambaram Stadium,Chennai,50000,8.85,League,0,Saturday,7.8,2196,50000
128,2021,RR,SRH,Rajiv Gandhi Stadium,Hyderabad,39000,7.95,Playoffs,0,Friday,7.4,2608,39000
129,2021,DC,GT,Arun Jaitley Stadium,Delhi,41000,8.15,League,0,Saturday,7.9,3058,41000
130,2021,RR,LSG,Narendra Modi Stadium,Ahmedabad,132000,8.1,League,0,Monday,7.2,4154,91546
131,2021,KKR,SRH,M. Chinnaswamy Stadium,Bangalore,40000,8.35,Playoffs,0,Sunday,8.8,4026,40000
132,2021,RCB,KKR,MA Chidambaram Stadium,Chennai,50000,9.15,League,1,Wednesday,7.8,4167,50000
133,2021,LSG,GT,Narendra Modi Stadium,Ahmedabad,132000,8.35,League,0,Sunday,7.2,1995,95846
134,2021,RR,KKR,Arun Jaitley Stadium,Delhi,41000,8.4,League,0,Wednesday,7.9,1257,41000
135,2021,GT,RCB,Narendra Modi Stadium,Ahmedabad,132000,9,League,0,Monday,7.2,3466,92532
136,2021,RR,RCB,Rajiv Gandhi Stadium,Hyderabad,39000,8.75,League,0,Sunday,7.4,1250,39000
137,2021,LSG,RR,Rajiv Gandhi Stadium,Hyderabad,39000,8.1,League,0,Thursday,7.4,2595,39000
138,2021,RCB,MI,Narendra Modi Stadium,Ahmedabad,132000,9.55,League,1,Monday,7.2,1467,106123
139,2021,DC,PBKS,M. Chinnaswamy Stadium,Bangalore,40000,7.65,Final,0,Saturday,8.8,4011,40000
140,2021,MI,RCB,Eden Gardens,Kolkata,65000,9.55,Final,1,Wednesday,7.5,1548,65000
141,2021,KKR,CSK,Sawai Mansingh Stadium,Jaipur,30000,9.25,League,1,Sunday,7.1,3340,30000
142,2021,DC,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,7.65,League,0,Sunday,7.4,3610,39000
143,2021,DC,RR,Wankhede Stadium,Mumbai,33000,7.9,League,0,Sunday,9,2051,33000
144,2021,KKR,RR,M. Chinnaswamy Stadium,Bangalore,40000,8.4,League,0,Tuesday,8.8,1911,40000
145,2021,GT,CSK,Eden Gardens,Kolkata,65000,9.1,League,0,Thursday,7.5,3045,65000
146,2021,LSG,PBKS,Narendra Modi Stadium,Ahmedabad,132000,7.85,League,0,Tuesday,7.2,2380,101940
147,2021,RR,PBKS,M. Chinnaswamy Stadium,Bangalore,40000,7.75,League,0,Wednesday,8.8,4426,40000
148,2021,LSG,KKR,Sawai Mansingh Stadium,Jaipur,30000,8.5,League,0,Friday,7.1,2120,30000
149,2022,RCB,RR,Eden Gardens,Kolkata,65000,8.75,League,0,Monday,7.5,1879,65000
150,2022,RR,LSG,Rajiv Gandhi Stadium,Hyderabad,39000,8.1,League,0,Thursday,7.4,4020,39000
151,2022,RR,DC,Narendra Modi Stadium,Ahmedabad,132000,7.9,Playoffs,0,Friday,7.2,3222,107320
152,2022,PBKS,CSK,Wankhede Stadium,Mumbai,33000,8.6,League,0,Saturday,9,2520,33000
153,2022,LSG,RR,Wankhede Stadium,Mumbai,33000,8.1,League,0,Tuesday,9,3961,33000
154,2022,LSG,MI,Narendra Modi Stadium,Ahmedabad,132000,8.9,Final,0,Monday,7.2,4325,118545
155,2022,RCB,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,8.5,League,0,Tuesday,7.4,3597,39000
156,2022,DC,PBKS,M. Chinnaswamy Stadium,Bangalore,40000,7.65,League,0,Wednesday,8.8,2872,40000
157,2022,SRH,LSG,M. Chinnaswamy Stadium,Bangalore,40000,8.05,League,0,Wednesday,8.8,2886,40000
158,2022,PBKS,RR,Sawai Mansingh Stadium,Jaipur,30000,7.75,Playoffs,0,Monday,7.1,3062,30000
159,2022,CSK,SRH,Narendra Modi Stadium,Ahmedabad,132000,8.8,League,0,Monday,7.2,4364,88791
160,2022,DC,GT,Wankhede Stadium,Mumbai,33000,8.15,Playoffs,0,Thursday,9,2892,33000
161,2022,MI,KKR,Arun Jaitley Stadium,Delhi,41000,9.2,League,0,Saturday,7.9,3010,41000
162,2022,MI,KKR,Narendra Modi Stadium,Ahmedabad,132000,9.2,Playoffs,0,Tuesday,7.2,2379,116026
163,2022,PBKS,LSG,M. Chinnaswamy Stadium,Bangalore,40000,7.85,League,0,Saturday,8.8,3693,40000
164,2022,KKR,RCB,Narendra Modi Stadium,Ahmedabad,132000,9.15,Playoffs,1,Monday,7.2,3462,108640
165,2022,DC,CSK,MA Chidambaram Stadium,Chennai,50000,8.75,League,0,Thursday,7.8,1681,50000
166,2022,RCB,PBKS,Narendra Modi Stadium,Ahmedabad,132000,8.5,Playoffs,0,Saturday,7.2,2319,115545
167,2022,DC,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,7.65,League,0,Thursday,7.4,3457,39000
168,2022,RCB,DC,MA Chidambaram Stadium,Chennai,50000,8.65,Playoffs,0,Saturday,7.8,1759,50000
169,2022,CSK,RR,Sawai Mansingh Stadium,Jaipur,30000,8.85,League,0,Sunday,7.1,3279,30000
170,2022,RR,MI,Narendra Modi Stadium,Ahmedabad,132000,8.8,League,0,Sunday,7.2,3604,96819
171,2022,LSG,PBKS,Eden Gardens,Kolkata,65000,7.85,League,0,Friday,7.5,3183,59634
172,2022,SRH,LSG,Sawai Mansingh Stadium,Jaipur,30000,8.05,League,0,Wednesday,7.1,1972,30000
173,2022,KKR,DC,MA Chidambaram Stadium,Chennai,50000,8.3,League,0,Monday,7.8,2503,50000
174,2022,PBKS,DC,Sawai Mansingh Stadium,Jaipur,30000,7.65,League,0,Thursday,7.1,1351,30000
175,2022,RCB,GT,Arun Jaitley Stadium,Delhi,41000,9,League,0,Sunday,7.9,3003,41000
176,2022,CSK,GT,Rajiv Gandhi Stadium,Hyderabad,39000,9.1,League,0,Saturday,7.4,1790,39000
177,2022,DC,RCB,M. Chinnaswamy Stadium,Bangalore,40000,8.65,League,0,Sunday,8.8,2285,40000
178,2022,SRH,DC,M. Chinnaswamy Stadium,Bangalore,40000,7.85,League,0,Sunday,8.8,3962,40000
179,2022,GT,DC,Arun Jaitley Stadium,Delhi,41000,8.15,League,0,Sunday,7.9,3416,41000
180,2022,MI,CSK,MA Chidambaram Stadium,Chennai,50000,9.65,League,1,Tuesday,7.8,4258,50000
181,2022,CSK,DC,M. Chinnaswamy Stadium,Bangalore,40000,8.75,League,0,Thursday,8.8,1881,40000
182,2022,RR,MI,Wankhede Stadium,Mumbai,33000,8.8,League,0,Sunday,9,1429,33000
183,2022,RR,SRH,Arun Jaitley Stadium,Delhi,41000,7.95,League,0,Tuesday,7.9,2200,41000
184,2022,GT,DC,Eden Gardens,Kolkata,65000,8.15,League,0,Tuesday,7.5,1523,65000
185,2022,LSG,DC,MA Chidambaram Stadium,Chennai,50000,8,League,0,Friday,7.8,1786,50000
186,2022,KKR,PBKS,Narendra Modi Stadium,Ahmedabad,132000,8.15,League,0,Wednesday,7.2,3931,100065
187,2022,MI,PBKS,Narendra Modi Stadium,Ahmedabad,132000,8.55,Playoffs,0,Tuesday,7.2,1502,113320
188,2022,PBKS,SRH,Narendra Modi Stadium,Ahmedabad,132000,7.7,League,0,Saturday,7.2,2224,100083
189,2022,PBKS,RR,MA Chidambaram Stadium,Chennai,50000,7.75,League,0,Sunday,7.8,3179,50000
190,2022,CSK,KKR,Sawai Mansingh Stadium,Jaipur,30000,9.25,Final,1,Wednesday,7.1,3554,30000
191,2022,RR,LSG,Wankhede Stadium,Mumbai,33000,8.1,League,0,Wednesday,9,1233,33000
192,2022,LSG,MI,Rajiv Gandhi Stadium,Hyderabad,39000,8.9,League,0,Sunday,7.4,4472,39000
193,2022,KKR,SRH,MA Chidambaram Stadium,Chennai,50000,8.35,League,0,Friday,7.8,2226,50000
194,2022,RCB,CSK,Wankhede Stadium,Mumbai,33000,9.6,League,1,Sunday,9,3005,33000
195,2022,MI,SRH,Eden Gardens,Kolkata,65000,8.75,League,0,Wednesday,7.5,2538,65000
196,2022,DC,RCB,MA Chidambaram Stadium,Chennai,50000,8.65,League,0,Sunday,7.8,3409,50000
197,2022,SRH,GT,Narendra Modi Stadium,Ahmedabad,132000,8.2,League,0,Wednesday,7.2,3173,90807
198,2022,RR,SRH,M. Chinnaswamy Stadium,Bangalore,40000,7.95,League,0,Monday,8.8,1776,40000
199,2022,KKR,DC,Arun Jaitley Stadium,Delhi,41000,8.3,League,0,Sunday,7.9,2816,41000
200,2022,MI,RR,M. Chinnaswamy Stadium,Bangalore,40000,8.8,League,0,Wednesday,8.8,3955,40000
201,2022,RR,DC,Arun Jaitley Stadium,Delhi,41000,7.9,League,0,Saturday,7.9,2157,41000
202,2022,PBKS,MI,Arun Jaitley Stadium,Delhi,41000,8.55,League,0,Saturday,7.9,1458,41000
203,2022,PBKS,RR,Sawai Mansingh Stadium,Jaipur,30000,7.75,League,0,Tuesday,7.1,1385,30000
204,2022,MI,RR,Rajiv Gandhi Stadium,Hyderabad,39000,8.8,League,0,Monday,7.4,2161,39000
205,2022,GT,RCB,Sawai Mansingh Stadium,Jaipur,30000,9,League,0,Wednesday,7.1,3946,30000
206,2022,GT,DC,Eden Gardens,Kolkata,65000,8.15,League,0,Saturday,7.5,1605,65000
207,2022,PBKS,DC,Narendra Modi Stadium,Ahmedabad,132000,7.65,League,0,Saturday,7.2,2717,103073
208,2022,KKR,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,8.15,League,0,Sunday,7.4,2685,39000
209,2022,CSK,SRH,Arun Jaitley Stadium,Delhi,41000,8.8,League,0,Thursday,7.9,2330,41000
210,2022,KKR,CSK,Rajiv Gandhi Stadium,Hyderabad,39000,9.25,League,1,Saturday,7.4,2068,39000
211,2022,LSG,MI,Wankhede Stadium,Mumbai,33000,8.9,League,0,Tuesday,9,1715,33000
212,2022,LSG,KKR,M. Chinnaswamy Stadium,Bangalore,40000,8.5,Playoffs,0,Tuesday,8.8,3601,40000
213,2022,KKR,LSG,Arun Jaitley Stadium,Delhi,41000,8.5,League,0,Sunday,7.9,3641,41000
214,2022,MI,RR,Eden Gardens,Kolkata,65000,8.8,League,0,Friday,7.5,2226,65000
215,2022,RCB,CSK,Wankhede Stadium,Mumbai,33000,9.6,League,1,Monday,9,2667,33000
216,2022,KKR,SRH,Wankhede Stadium,Mumbai,33000,8.35,League,0,Wednesday,9,1414,33000
217,2022,RCB,DC,M. Chinnaswamy Stadium,Bangalore,40000,8.65,League,0,Thursday,8.8,3036,40000
218,2022,SRH,GT,M. Chinnaswamy Stadium,Bangalore,40000,8.2,League,0,Friday,8.8,2107,40000
219,2022,LSG,MI,Narendra Modi Stadium,Ahmedabad,132000,8.9,League,0,Saturday,7.2,1327,102306
220,2022,MI,PBKS,Sawai Mansingh Stadium,Jaipur,30000,8.55,League,0,Saturday,7.1,1642,30000
221,2022,PBKS,LSG,M. Chinnaswamy Stadium,Bangalore,40000,7.85,League,0,Wednesday,8.8,3691,40000
222,2022,RCB,CSK,Eden Gardens,Kolkata,65000,9.6,League,1,Friday,7.5,3793,65000
223,2023,LSG,GT,Arun Jaitley Stadium,Delhi,41000,8.35,League,0,Friday,7.9,3373,41000
224,2023,RR,PBKS,Sawai Mansingh Stadium,Jaipur,30000,7.75,League,0,Sunday,7.1,4074,30000
225,2023,CSK,GT,MA Chidambaram Stadium,Chennai,50000,9.1,League,0,Thursday,7.8,2135,50000
226,2023,DC,SRH,Rajiv Gandhi Stadium,Hyderabad,39000,7.85,League,0,Thursday,7.4,4188,39000
227,2023,CSK,SRH,Sawai Mansingh Stadium,Jaipur,30000,8.8,League,0,Saturday,7.1,2244,30000
228,2023,SRH,RCB,Rajiv Gandhi Stadium,Hyderabad,39000,8.7,League,0,Monday,7.4,1549,39000
229,2023,CSK,DC,M. Chinnaswamy Stadium,Bangalore,40000,8.75,League,0,Sunday,8.8,1732,40000
230,2023,GT,MI,Arun Jaitley Stadium,Delhi,41000,9.05,League,0,Thursday,7.9,2648,41000
231,2023,DC,MI,Narendra Modi Stadium,Ahmedabad,132000,8.7,League,0,Wednesday,7.2,1624,95643
232,2023,LSG,GT,MA Chidambaram Stadium,Chennai,50000,8.35,League,0,Saturday,7.8,3175,50000
233,2023,KKR,CSK,Arun Jaitley Stadium,Delhi,41000,9.25,Playoffs,1,Wednesday,7.9,1670,41000
234,2023,RR,KKR,Sawai Mansingh Stadium,Jaipur,30000,8.4,Playoffs,0,Sunday,7.1,3746,30000
235,2023,LSG,GT,Wankhede Stadium,Mumbai,33000,8.35,League,0,Monday,9,1938,33000
236,2023,RR,LSG,Arun Jaitley Stadium,Delhi,41000,8.1,League,0,Monday,7.9,1943,41000
237,2023,RCB,DC,M. Chinnaswamy Stadium,Bangalore,40000,8.65,League,0,Saturday,8.8,3793,40000
238,2023,MI,CSK,MA Chidambaram Stadium,Chennai,50000,9.65,League,1,Thursday,7.8,3058,50000
239,2023,SRH,RCB,Arun Jaitley Stadium,Delhi,41000,8.7,League,0,Saturday,7.9,2528,41000
240,2023,LSG,CSK,Wankhede Stadium,Mumbai,33000,8.95,League,0,Tuesday,9,4290,33000
